UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF
130,M00130,M,301.7,311.7,1797.6,36.4,114.2,0,0,0,0,0,0
131,M00131,M,300.6,310.4,1361.4,46.4,74.0,0,0,0,0,0,0
132,M00132,L,302.9,312.8,1460.4,52.8,171.4,0,0,0,0,0,0
133,M00133,L,302.8,312.4,1714.8,21.3,193.9,0,0,0,0,0,0
134,M00134,M,300.3,310.6,1498.7,56.8,191.9,0,0,0,0,0,0
135,M00135,L,297.0,306.2,1395.8,33.2,110.2,0,0,0,0,0,0
136,M00136,L,301.4,311.6,1498.0,33.8,33.0,0,0,0,0,0,0
137,M00137,M,295.7,305.5,1574.7,33.3,206.2,0,0,0,0,0,0
138,M00138,M,300.0,309.5,1884.7,57.0,35.2,0,0,0,0,0,0
139,M00139,M,303.5,313.3,1264.8,53.2,3.5,0,0,0,0,0,0
140,M00140,M,297.7,308.3,1485.0,49.8,159.6,0,0,0,0,0,0
141,M00141,L,297.3,307.4,1667.1,36.9,152.5,0,0,0,0,0,0
142,M00142,M,301.4,311.2,1408.0,43.0,236.6,0,0,0,0,0,0
143,M00143,M,301.1,311.3,1307.1,37.7,92.8,0,0,0,0,0,0
144,M00144,H,297.1,307.5,1616.9,48.5,24.8,0,0,0,0,0,0
145,M00145,M,301.5,311.3,1448.7,33.5,111.2,0,0,0,0,0,0
146,M00146,M,302.5,312.9,1168,32.4,89.7,0,0,0,0,0,0
147,M00147,L,304.8,314.6,1539.4,36.1,53.0,0,0,0,0,0,0
148,M00148,L,301.7,311.8,1850.9,38.8,51.3,0,0,0,0,0,0
149,M00149,H,300.4,310.7,1622.0,33.5,36.9,0,0,0,0,0,0
150,M00150,L,299.0,310.0,1748.6,39.0,199.6,0,0,0,0,0,0
151,M00151,L,301.3,311.6,1563.8,27.1,3.9,0,0,0,0,0,0
152,M00152,L,299.9,309.3,1493.8,28.6,194.5,0,0,0,0,0,0
153,M00153,L,298.6,308.7,1258.3,29.3,227.2,0,0,0,0,0,0
154,M00154,M,295.0,305.3,1711.9,44.3,100.4,0,0,0,0,0,0
155,M00155,M,299.5,309.0,1642.2,34.8,37.1,0,0,0,0,0,0
156,M00156,H,298.3,307.8,1205.8,68.8,132.6,0,0,0,0,0,0
157,M00157,H,296.8,307.2,1719.5,49.6,219.4,0,0,0,0,0,0
158,M00158,L,296.2,306.6,1178.7,49.7,99.7,0,0,0,0,0,0
159,M00159,M,297.3,307.6,1419.0,44.1,230.7,0,0,0,0,0,0
160,M00160,L,300.8,310.9,1474.3,21.8,139.1,0,0,0,0,0,0
161,M00161,H,297.2,306.9,1168,50.8,235.3,0,0,0,0,0,0
162,M00162,L,302.7,312.6,1343.4,50.5,53.2,0,0,0,0,0,0
163,M00163,L,301.1,310.7,1407.3,38.3,69.6,0,0,0,0,0,0
164,M00164,M,303.1,312.1,1615.0,27.5,160.7,1,0,0,1,0,0
165,M00165,M,301.6,311.7,1535.1,17.5,87.8,0,0,0,0,0,0
166,M00166,L,298.1,307.9,1678.0,51.0,7.7,0,0,0,0,0,0
167,M00167,L,298.4,308.8,1595.0,47.2,81.1,0,0,0,0,0,0
168,M00168,H,300.6,310.7,1652.4,51.6,168.5,0,0,0,0,0,0
169,M00169,M,297.8,307.8,1451.3,56.6,28.5,0,0,0,0,0,0
170,M00170,M,298.8,308.2,1330.7,38.6,55.1,0,0,0,0,0,0
171,M00171,L,301.7,311.7,1526.2,45.3,63.9,0,0,0,0,0,0
172,M00172,L,297.9,307.9,1669.8,48.9,57.5,0,0,0,0,0,0
173,M00173,M,303.6,314.0,1537.5,40.5,230.3,0,0,0,0,0,0
174,M00174,H,298.2,308.4,1394.7,33.6,101.3,0,0,0,0,0,0
175,M00175,L,300.9,310.2,1721.4,20.5,22.0,0,0,0,0,0,0
176,M00176,L,298.1,308.3,1856.0,49.6,186.5,0,0,0,0,0,0
177,M00177,L,302.5,312.8,1371.1,38.7,194.1,0,0,0,0,0,0
178,M00178,L,300.1,310.4,1588.4,52.8,190.1,0,0,0,0,0,0
179,M00179,L,302.7,312.5,1249.0,42.9,144.9,0,0,0,0,0,0
180,M00180,H,296.3,305.3,1263.8,63.8,79.0,0,0,0,0,0,0
181,M00181,M,298.4,308.6,1489.5,43.4,126.8,0,0,0,0,0,0
182,M00182,M,301.9,312.0,1433.6,54.0,244.3,0,0,0,0,0,0
183,M00183,H,297.8,307.8,1168,34.1,224.0,0,0,0,0,0,0
184,M00184,H,299.0,308.6,1387.0,40.9,15.5,0,0,0,0,0,0
185,M00185,M,300.8,310.8,1465.7,37.8,176.9,0,0,0,0,0,0
186,M00186,H,298.8,308.8,1386.2,45.8,102.2,0,0,0,0,0,0
187,M00187,H,302.7,312.9,1409.3,47.7,139.5,0,0,0,0,0,0
188,M00188,M,299.5,308.8,1838.1,28.7,83.3,0,0,0,0,0,0
189,M00189,L,301.5,311.3,1336.0,27.8,32.2,0,0,0,0,0,0
190,M00190,L,299.3,309.8,1594.8,22.3,167.5,0,0,0,0,0,0
191,M00191,H,302.5,312.9,1461.7,39.9,77.2,0,0,0,0,0,0
192,M00192,M,302.2,312.0,1516.0,45.4,19.3,0,0,0,0,0,0
193,M00193,L,297.5,307.5,1482.6,27.8,165.5,0,0,0,0,0,0
194,M00194,H,301.3,311.7,1697.7,56.1,192.8,0,0,0,0,0,0
195,M00195,L,299.9,309.8,1290.1,52.0,242.4,0,0,0,0,0,0
196,M00196,M,300.1,310.5,1842.2,36.2,226.0,0,0,0,0,0,0
197,M00197,H,302.2,312.1,1461.1,49.6,131.9,0,0,0,0,0,0
198,M00198,L,300.3,310.0,1500.0,54.3,218.5,0,0,0,0,0,0
199,M00199,L,299.4,308.8,1559.3,43.0,40.1,0,0,0,0,0,0
200,M00200,H,301.3,311.7,1633.8,37.7,112.8,0,0,0,0,0,0
